 original      webp   saved                 dims    rms  file
    293KB      89KB     70%            3000x1570   1.59  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/1.png
    292KB      89KB     69%            3000x1570   1.88  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/6.png
    294KB      94KB     68%            3000x1570   2.29  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/3.png
    291KB      92KB     68%            3000x1570   1.87  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/4.png
    257KB      60KB     77%             1330x808   3.48  public/images/UIUX/PowerBI Dashboards/COMPLIANCE.png
    304KB     109KB     64%            1920x1080   4.76  public/images/Brand Identity/Orbitshift Podcast/SURFACE.png
    275KB      86KB     69%            3000x1570   2.15  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/2.png
    189KB      16KB     91%              820x466   2.32  public/images/homegrid/Design/card06_phone_screens.png
    179KB      10KB     95%              820x465   1.99  public/images/homegrid/Design/card01_portrait_man.png
    191KB      24KB     88%              820x465   2.35  public/images/homegrid/Design/card09_recognizing_needs.png
    185KB      26KB     86%              901x245   4.75  public/images/Brand Identity/Forge/HEAT.png
    179KB      21KB     88%             1585x331   3.00  public/images/Brand Identity/Freshstart/TRANSLATION.jpg
    296KB     154KB     48%            1200x1600   2.22  public/images/homegrid/Travel/travel08_landscape.jpg
    376KB     243KB     36%            1400x1867   2.32  public/images/Photo Frame/2 CTRL ALT CAT.jpg
    181KB      48KB     74%              595x842   3.70  public/images/Marketing Campaigns/Brochures and reports/EDITORIAL/Content Page 5.png
    157KB      29KB     81%              812x456   3.56  public/images/homegrid/Design/card19_mobily_dashboard.png
    136KB      10KB     93%              820x465   1.76  public/images/homegrid/Design/card10_freshsprint_hackathon.png
    137KB      14KB     90%              820x465   1.98  public/images/homegrid/Design/card02_experience_nxt.png
    137KB      15KB     89%              970x331   2.91  public/images/Brand Identity/Freshstart/INVERSION.jpg
    122KB      14KB     88%              842x595   2.66  public/images/Brand Identity/Uplift/EXTENSION.png
    120KB      18KB     85%              820x466   2.27  public/images/homegrid/Design/card18_icons_grid.png
    120KB      18KB     85%              820x466   2.27  public/images/homegrid/Design/card21_icons_grid.png
    399KB     301KB     25%            1400x1867   2.47  public/images/Photo Frame/3 Golden Hour.jpg
    223KB     125KB     44%            1600x1200   2.17  public/images/homegrid/Travel/travel03_landscape.jpg
    123KB      40KB     68%              595x842   2.79  public/images/Marketing Campaigns/Brochures and reports/EDITORIAL/Content Page 1.png
     90KB      10KB     89%              290x290   2.99  public/favicon.png
     90KB      10KB     89%              290x290   2.99  public/images/menuicons/avatar.png
    288KB     210KB     27%            1600x1200   2.33  public/images/homegrid/Travel/travel09_landscape.jpg
    125KB      50KB     60%              595x842   4.97  public/images/Marketing Campaigns/Brochures and reports/EDITORIAL/Content Page 4.png
     87KB      13KB     85%             1160x468   1.24  public/images/Brand Identity/Freshstart/ORIGIN.jpg
    435KB     362KB     17%            1200x1600   2.77  public/images/homegrid/Travel/travel12_portrait.jpg
    110KB      40KB     64%             1298x470   1.17  public/images/UIUX/Healthdesk/Wireframes.png
    121KB      51KB     58%            1273x1117   1.46  public/images/Photo Frame/4 Life of a designer.jpg
    247KB     180KB     27%            1600x1200   2.24  public/images/homegrid/Travel/travel01_lakeshore_snow.jpg
     75KB       8KB     90%              820x466   1.39  public/images/homegrid/Design/card16_freshstart_logo.png
     75KB       8KB     90%              820x466   1.39  public/images/homegrid/Design/card22_freshstart_logo.png
    183KB     116KB     37%             900x1600   2.14  public/images/homegrid/Travel/travel21_portrait.jpg
    451KB     384KB     15%             1900x962   3.01  public/images/homegrid/Travel/travel04_lanka_pano.jpg
     77KB      10KB     87%             1062x166   2.40  public/images/Brand Identity/Uplift/CONSTRUCTION.jpg
     77KB      11KB     86%              820x465   2.16  public/images/homegrid/Design/card05_orbit_shift_podcast.png
    415KB     358KB     14%             900x1600   3.16  public/images/homegrid/Travel/travel18_portrait.jpg
    149KB      92KB     38%             900x1600   2.08  public/images/homegrid/Travel/travel20_portrait.jpg
    200KB     144KB     28%             900x1600   2.42  public/images/homegrid/Travel/travel19_portrait.jpg
